,code,name,ind_code,ind
432,2310,아세아제지,31702,"골판지, 종이 상자 및 종이용기 제조업"
722,2320,한진,84903,도로 화물 운송업
151,2350,넥센타이어,32201,고무제품 제조업
82,2360,SH에너지화학,32001,기초 화학물질 제조업
586,2380,케이씨씨,32004,기타 화학제품 제조업
689,2390,한독,32102,의약품 제조업
299,2410,범양건영,64101,건물 건설업
378,2420,세기상사,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
348,2450,삼익악기,33302,악기 제조업
767,2460,화성산업,64101,건물 건설업
559,2600,조흥,31007,기타 식품 제조업
550,2620,제일파마홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업
473,2630,오리엔트바이오,32102,의약품 제조업
237,2690,동일제강,32401,1차 철강 제조업
413,2700,신일전자,74605,기계장비 및 관련 물품 도매업
100,2710,TCC스틸,32401,1차 철강 제조업
128,2720,국제약품,32102,의약품 제조업
302,2760,보락,32004,기타 화학제품 제조업
576,2780,진흥기업,64102,토목 건설업
429,2790,아모레퍼시픽그룹,32004,기타 화학제품 제조업
343,2810,삼영무역,74607,기타 전문 도매업
372,2820,선창산업,31602,나무제품 제조업
290,2840,미원상사,32004,기타 화학제품 제조업
415,2870,신풍제지,31701,"펄프, 종이 및 판지 제조업"
190,2880,대유에이텍,33003,자동차 신품 부품 제조업
226,2900,동양물산기업,32902,특수 목적용 기계 제조업
497,2920,유성기업,33003,자동차 신품 부품 제조업
667,2960,한국쉘석유,31902,석유 정제품 제조업
134,2990,금호산업,64101,건물 건설업
305,3000,부광약품,32102,의약품 제조업
764,3010,혜인,74605,기계장비 및 관련 물품 도매업
383,3030,세아제강지주,116409,기타 금융업
454,3060,에이프로젠제약,32102,의약품 제조업
603,3070,코오롱글로벌,64102,토목 건설업
374,3080,성보화학,32003,"비료, 농약 및 살균, 살충제 제조업"
184,3090,대웅,116409,기타 금융업
530,3120,일성신약,32102,의약품 제조업
248,3160,디아이,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
531,3200,일신방직,31301,방적 및 가공사 제조업
